artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Gunna,58t0XmJe6vAUVnjCoeiqJP,Mistress,0.0274,0.92,171372,0.667,0.0,2,0.106,-5.7360000000000015,1,0.269,148.039,4,0.5,53
Yung Bans,1u9ro3M4csJzYAK7msvtiM,Shoot It Out,0.00182,0.73,109733,0.49,0.0,1,0.14,-10.488,1,0.256,139.95600000000002,4,0.285,31
The Neighbourhood,7zwn1eykZtZ5LODrf7c0tS,You Get Me So High,0.18600000000000005,0.551,153000,0.8809999999999999,0.0791,7,0.152,-6.099,0,0.0542,88.036,4,0.387,64
pig,1awkOtWhmUm6V3gziCaLSW,Bath Time,0.925,0.596,267500,0.245,0.66,2,0.0798,-15.239,1,0.0406,80.03,4,0.13,21
Pyotr Ilyich Tchaikovsky,6lVZHeY3s8GOKxImJ3hf7s,"The Queen of Spades, Op. 68, Act III Scene 7: No. 24, Closing Scene ""Za delo, gospoda, za karty!"" - Live",0.978,0.441,198707,0.231,0.00039,9,0.736,-18.707,1,0.0669,86.844,4,0.467,4
Seven Lions,569BGSWQapYD8Niuy67Cal,After Dark - Edit,0.00316,0.5579999999999999,229859,0.976,0.38,1,0.166,-3.906,0,0.125,142.003,4,0.301,57
Jay Worthy,6sOjFyFW9WIrLEn9MC0tQD,Westside Party,0.303,0.578,214347,0.82,0.0,5,0.616,-3.913,0,0.146,84.565,4,0.6509999999999999,20
Jaden Smith,77GiFZSewl9oDfivcq3ZlK,Icon - Remix,0.272,0.753,221040,0.895,0.0,0,0.4,-3.577,1,0.194,119.988,4,0.495,50
Olvr...,1CLPWL62CGIXFzB7tacdOF,Love Hurts! Keep It 100,0.00374,0.6459999999999999,138109,0.677,0.00017,6,0.104,-8.113999999999999,0,0.204,154.946,4,0.0798,0
Shun Yu,3BI9CeAkQjfZ9XP1ryPmp1,"Sonata No. 16 in G-Major, Op. 31 No. 1: 1st Movement (Ludwig van Beethoven)",0.99,0.508,343372,0.061,0.88,7,0.14300000000000002,-24.344,1,0.0624,115.888,4,0.173,20
Aira,70NJkltNqpwta70HAB7lc7,Floating,0.809,0.602,237701,0.0617,0.177,7,0.105,-22.008000000000006,1,0.182,174.102,5,0.376,29
Tava,47RVnTQytqndXwPCIrjU4E,Mina,0.142,0.7090000000000001,244391,0.932,0.172,3,0.0612,-7.142,1,0.0751,110.03,4,0.626,2
Los Hijos De Garcia,1tmzGI09RpqWN71YrG4KFj,Respeto Me Dan,0.4970000000000001,0.7559999999999999,194144,0.667,0.00257,7,0.294,-4.976,1,0.0376,115.073,3,0.971,47
Ras G & The Afrikan Space Program,1o1C3BVBtLk0jDsq5Tz07k,The Arrival,0.0573,0.6940000000000001,182589,0.626,0.000489,7,0.162,-9.145,1,0.0846,92.32,4,0.3720000000000001,0
Money Man,2Qj4d2AYC2mQyKgWzziliz,Sacrifice,0.0651,0.924,184680,0.389,0.0,5,0.0869,-12.702,0,0.358,129.966,4,0.454,17
Burgergate,3hVjf7PXH1Mbay9aisjHpb,Cousin Macy,0.00218,0.542,217861,0.794,0.0,1,0.181,-2.617,1,0.0386,110.031,3,0.589,0
Young Bossi,39Rp9hWA31cvnostCoHzqe,True Gritter,0.0116,0.476,260741,0.733,0.0,11,0.14300000000000002,-6.3610000000000015,0,0.464,82.74700000000001,4,0.442,24
Marco Antonio Solís,2eSR8hpbWvSqpr3j8Ts6FK,No Me Arrepiento,0.00929,0.652,300774,0.595,0.0102,11,0.0823,-5.505,1,0.0243,88.00299999999999,4,0.312,46
Kids Hits Project,023MqVGtkPCjWPw2dTCGyG,Row Row Row Your Boat,0.7609999999999999,0.535,100414,0.336,0.0,7,0.142,-5.457000000000002,1,0.0293,90.27,4,0.424,0
Joel Taylor,1emMdrhysQOvS1XFxwOIaB,Give Myself Away,0.388,0.74,229359,0.498,0.0,2,0.107,-7.84,1,0.07400000000000001,139.97899999999998,4,0.276,34
Johann Sebastian Bach,1gzhnnVxUnXFnGTaRE4yZD,"Cantata ""Ich hatte viel Bekümmernis"", BWV 21: IX. Chorus ""Sei nun wieder zufrieden, meine Seele""",0.977,0.157,313947,0.131,0.708,7,0.217,-22.151,0,0.039,105.257,3,0.16,4
Ludwig van Beethoven,56iXWCNWhQQgF3XIfIK6sS,"Piano Sonata No. 2 in A Major, Op. 2 No. 2: II. Largo appassionato",0.995,0.365,341080,0.00596,0.901,2,0.07200000000000001,-30.207,1,0.0426,97.524,4,0.244,19
Gwenno,344GtQ4nv34fXhh2G0sh7S,Tir Ha Mor,0.0664,0.578,250381,0.5870000000000001,0.82,0,0.234,-11.493,1,0.0334,138.014,4,0.639,24
Shankar Mahadevan,45GASOW2EcEHVZOaWvNMKg,Hare Krishna Hare Rama,0.544,0.614,102818,0.384,0.0,1,0.25,-12.34,0,0.03,95.994,4,0.544,2
Skeletal Remains,3zY36e89XC6D6EVPt9f3aE,Mortal Decimation,1.6e-05,0.248,252613,0.957,0.7340000000000001,2,0.0675,-5.391,1,0.16399999999999998,113.683,4,0.236,13
Luis y Julian,5JB5mLZiiykFVXVE7QtnuK,Misa De Cuerpo Presente,0.265,0.7020000000000001,188500,0.727,5.5399999999999985e-05,6,0.18,-5.067,1,0.135,95.01,4,0.915,12
Andra Day,1mO24cHKwHoF3389LLefRs,"I Wish I Knew How It Would Feel to Be Free - From Tyler Perry's ""Acrimony""",0.906,0.276,162413,0.316,3.71e-05,9,0.14400000000000002,-8.383,0,0.0307,79.735,4,0.19,38
Aso,2xCr4G5ojdyvGDC5y96B9B,Love Is,0.8740000000000001,0.6809999999999999,138316,0.354,0.942,5,0.106,-10.298,0,0.284,157.89600000000004,4,0.259,54
Doc Robinson,43irDawnAHKlbLWVG2XFne,Outro,0.92,0.368,173750,0.228,0.265,6,0.0888,-25.38,0,0.0859,140.504,5,0.37,0
Crimson Mystery,64xBekNFYForh0Hn8DEskc,Another Time,0.0396,0.5489999999999999,296635,0.79,0.8340000000000001,1,0.098,-7.818,1,0.0386,139.98,4,0.5489999999999999,8
Tosheem,5GDsr4D0f1e6LwdImAIXH9,Go Through,0.43,0.625,131136,0.506,0.0,6,0.0829,-10.589,1,0.309,76.069,4,0.133,5
Furkan Senol,5WGOhaEiVJzjeUbjgPK2ww,When You Smile,0.359,0.615,218625,0.7340000000000001,0.838,4,0.268,-11.492,1,0.0442,125.994,4,0.0733,28
YoungBoy Never Broke Again,7HT6nu5Tm2cGsvzH43JdjR,Top Down,0.5,0.8220000000000001,130407,0.8740000000000001,0.0,11,0.377,-4.137,0,0.29600000000000004,81.493,4,0.862,57
Tricky,3crumrPZWJT7O7SXPMvthh,Last Time,0.579,0.469,185992,0.715,0.0,4,0.29600000000000004,-7.612999999999999,0,0.14300000000000002,149.91899999999995,4,0.173,5
whaTaRWoll Music,1CASxNSTPAwBcbydYPd2uw,No Finish,0.53,0.636,203468,0.404,0.956,8,0.0812,-8.312999999999999,1,0.0379,125.002,4,0.457,39
aqualina,4LKDcGs6HZrsAwuVei6Du8,reminisce,0.979,0.451,168000,0.29600000000000004,0.862,0,0.111,-17.817999999999994,0,0.0935,72.28,4,0.175,34
Johann Sebastian Bach,4pad04dYtu9RBpnBRV1CV9,"Fugue in G Sharp Minor: Book I - No. 18, BWV 863",0.909,0.618,177200,0.34,0.29100000000000004,7,0.0565,-18.227,0,0.0448,118.787,3,0.77,9
Page Kennedy,6Y1zUJEmASpJEIvFbxTLbs,P. S. A. (Public Service Attack),0.0545,0.4970000000000001,135916,0.948,0.0,1,0.7709999999999999,-2.205,1,0.392,88.55,4,0.644,7
Smoke Trees,3MB1LKymMsBDqJDJflO7FE,Miranda,0.47,0.65,94658,0.224,2.04e-05,11,0.156,-15.298,0,0.333,82.04700000000003,4,0.624,19
iLLieSwitch,5VlWPyNlcKIGVqV2iMGLP3,Tunnel Vision,0.383,0.696,179409,0.5670000000000001,0.0,4,0.327,-10.663,0,0.342,60.085,4,0.815,24
Waka Flocka Flame,1YC3SNdmz5R6i1gG3iNs6E,Rap Game Stressful,0.228,0.665,211513,0.7,0.0,1,0.16699999999999998,-5.422999999999999,1,0.0354,119.985,4,0.254,5
Bastian Vilda,58qQiNRHdmcHTqlOkT4BG4,Woups,0.0289,0.7859999999999999,301935,0.737,0.7959999999999999,1,0.101,-10.359000000000002,1,0.116,123.994,4,0.344,0
Jagadeesh Kumar,58bs4VQUlgyZcMKJVjpZ6o,"I Want to Marry You Mama (From ""Charlie Chaplin 2"")",0.18,0.7829999999999999,245909,0.812,0.00105,7,0.405,-4.539,1,0.114,131.907,4,0.6809999999999999,31
JC Brooks & The Uptown Sound,3vztvSjgKOKNE1k3rgPXPq,Better Class of Thieves,0.156,0.742,358592,0.691,0.0,5,0.7170000000000001,-6.275,0,0.117,102.105,4,0.961,22
Xavier Dunn,3OziR9Ow2elmbkE8O9wRxh,Warming,0.716,0.6459999999999999,199309,0.298,2.47e-05,7,0.27,-12.052,1,0.0335,80.064,4,0.28,42
Karol G,1VckgCmTBe6q9V8lnyF9hL,Tu Pum Pum - DJ Boris Remix,0.000238,0.795,472600,0.785,0.8909999999999999,6,0.0583,-6.233,1,0.0753,123.011,4,0.202,28
Isaac Stancill,0meMzDmedgxMXBx5CqrOsF,Late Nights,0.83,0.615,216037,0.2,0.0006450000000000001,0,0.104,-12.599,1,0.0337,120.121,4,0.385,0
Johann Sebastian Bach,4iCiXChZavcG9W9Yl96DSE,"Nun komm der Heiden Heiland, BWV 61 for the First Sunday of Advent: I. Ouvertüre (Coro). Nun komm, der Heiden Heiland",0.967,0.214,181493,0.172,0.00951,8,0.105,-19.159,0,0.0398,92.848,4,0.416,1
Emina Jahović,7f7Nrif4EfA70jmwosjsiq,Izvini Iskreno,0.0761,0.667,192500,0.86,0.0,0,0.268,-4.34,0,0.0307,119.981,4,0.424,26
Suigeneris,2Tc6FIPS7exkPYy6Qm2Ndh,See Me No More,0.179,0.78,128151,0.5870000000000001,0.0,8,0.121,-6.945,1,0.067,142.053,4,0.279,30
Cameron DeLuca,0VmgT6b91ZdXgbgFuD0BR7,Zen Moments,0.872,0.17600000000000002,151154,0.397,0.969,4,0.263,-13.147,0,0.036000000000000004,109.303,3,0.0411,22
Chef Sean,7Lk1ucf3ed5Ev85dpamIK2,Mama's Stove (Prod. By DJ Triumph),0.382,0.867,182050,0.382,5.2e-06,0,0.109,-10.615,0,0.272,108.082,4,0.134,4
Christopher Lennertz,0RTq5gZASnDmjXQF8TpZcc,Ultimate Sacrifice,0.809,0.187,234587,0.0396,0.205,7,0.0952,-26.296,1,0.04,64.454,3,0.0329,13
Silvan Souls,1GkvgVquLUzoasnnlqY6Wo,Choose,0.684,0.637,129939,0.727,6.34e-05,1,0.151,-5.608,0,0.0257,97.909,4,0.35100000000000003,38
D-weezy,05EXj2TWFaMqVNPJsBOHU8,Snow Bunnies,0.201,0.736,158183,0.708,0.0,10,0.101,-5.964,0,0.383,155.976,4,0.8540000000000001,0
Fantasy Camp,20L6ZNX4X1yd1DO7d4MF6u,Track Meet,0.16399999999999998,0.627,148431,0.5529999999999999,0.0577,7,0.115,-10.845,1,0.165,158.73,4,0.193,14
Fleetwood Mac,6kJvnCVbRm0k6Q4FPgFf9n,Landslide - Early Version,0.88,0.453,198173,0.22,7.99e-05,10,0.126,-16.771,1,0.0312,159.878,4,0.423,0
Messa,0YRag0JEHvclqHSLsthQvl,Snakeskin Drape,0.00323,0.149,304000,0.861,0.926,3,0.108,-8.041,0,0.163,175.295,4,0.0526,25
Los Tres Ases,2UYd6U4u0HhtXEIQbmkkMi,Cien mujeres (Bolero),0.754,0.732,148924,0.23,0.0,11,0.165,-12.357,0,0.0773,107.365,4,0.505,28
Anenon,7AublhO1fuOBDRp6xfaTjp,Tongue,0.708,0.47,303750,0.6509999999999999,0.894,5,0.0923,-13.163,0,0.0603,179.493,4,0.313,0
Maes,6zMm1pfAHZDouO91HVY9Bg,Sur moi,0.528,0.769,131765,0.322,0.000202,11,0.0613,-14.338,0,0.317,102.05,4,0.127,47
Edotjae,2Y9EhEs0W8yr2okizKF8UJ,Surf Board,0.00113,0.412,209267,0.436,0.0,2,0.321,-10.217,1,0.0705,120.192,4,0.103,0
Third Party,4uQzfUUpSPtP8378Qg5aTo,Higher,0.0081,0.472,288189,0.8809999999999999,0.111,6,0.366,-6.182,1,0.0491,127.014,4,0.24,60
Ty Dolla $ign,0iacTXhIesaUMVLiDsBMIJ,Famous,0.6859999999999999,0.562,200987,0.298,0.0,6,0.388,-9.523,1,0.0862,77.903,3,0.5770000000000001,42
Scandroid,7iU2vy8JTySNzndsDKVyAi,Awakening With You - Turboslash Remix,2.51e-05,0.468,202452,0.662,0.18,0,0.115,-5.864,1,0.0279,154.95,4,0.426,19
Kelpe,6EEYTaE00jBlcGW6MZYzwI,Tomato Day,0.989,0.377,259076,0.0325,0.917,2,0.126,-23.684,0,0.0351,70.933,3,0.119,34
Project Youngin,3a34dklagfdSy1uzeiu9X8,Meant to Be,0.136,0.7240000000000001,241000,0.627,0.0,8,0.084,-5.714,0,0.412,175.80200000000005,4,0.778,0
Anand Aravindakshan,1DtO9FsZwDkKS00s7hZFQp,Mughaiyazhi,0.621,0.622,191000,0.485,0.00471,7,0.103,-7.1110000000000015,0,0.247,172.074,4,0.519,28
S. P. Balasubrahmanyam,1KUBtdTWJ3YNEgLavNuTAI,"Nenapidu Ee Dinavanu (From ""Hrudaya Bandhana"")",0.846,0.649,299809,0.542,0.000483,10,0.0768,-11.088,0,0.0308,84.932,4,0.7659999999999999,0
